query ID	subject ID	evalue	Percent Identity	Moved	query location	subject location
YP_002343473.1	WP_002799923.1	0.0	91.14	false	1..1323	1..1323
YP_002343474.1	WP_002787447.1	0.0	91.55	false	1483..2550	1488..2555
YP_002343475.1	WP_002791617.1	0.0	92.6	false	2579..4888	2587..4899
YP_002343478.1	WP_002797292.1	0.0	85.91	false	6703..8010	9524..10825
YP_002343479.1	WP_002790484.1	0.0	96.52	false	8144..12634	10959..15449
YP_002343481.1	WP_002799932.1	0.0	92.1	false	14398..15843	15459..16904
YP_002343482.1	WP_002779390.1	9e-95	87.43	false	complement(15844..16419)	complement(16905..17480)
YP_002343484.1	WP_002779391.1	2e-122	97.21	false	complement(16756..17403)	complement(17518..18165)
YP_002343485.1	WP_021033616.1	0.0	93.37	false	17563..19239	18316..19992
YP_002343487.1	WP_002790482.1	0.0	94.36	false	complement(19867..21093)	complement(20039..21265)
YP_002343488.1	WP_002779268.1	2e-129	100	false	21159..21833	21341..22015
YP_002343489.1	WP_002831546.1	0.0	92.91	false	complement(21854..23380)	complement(22036..23553)
YP_002343490.1	WP_002779270.1	5e-25	100	false	complement(23392..23559)	complement(23568..23735)
YP_002343491.1	WP_002822567.1	8e-28	47.17	true	complement(23665..25443)	272612..274714
YP_002343492.1	WP_002778252.1	1e-55	42.8	true	complement(25433..26347)	complement(1381332..1382357)
YP_002343493.1	WP_002779903.1	4e-146	85.02	false	complement(26411..27289)	complement(23783..24649)
YP_002343494.1	WP_002802993.1	5e-142	80.68	false	complement(27402..28304)	complement(24770..25705)
YP_002343495.1	WP_002779897.1	0.0	97.06	false	28382..29710	25746..27074
YP_002343496.1	WP_002779276.1	0.0	96.07	false	29726..32095	27089..29458
YP_002343497.1	WP_002779896.1	0.0	86.77	false	complement(32134..33519)	complement(29490..30875)
YP_002343498.1	WP_002779278.1	7e-119	97.09	false	complement(33639..34262)	complement(30993..31616)
YP_002343499.1	WP_002779279.1	0.0	92.44	false	34382..36013	31729..33363
YP_002343500.1	WP_002779280.1	0.0	89.67	false	36000..37571	33350..34921
YP_002343501.1	WP_072212039.1	7e-167	86.1	false	37667..38662	35007..36053
YP_002343503.1	WP_021033617.1	0.0	80.38	false	join(46424..49000,49002..50156)	46466..50245
YP_002343505.1	WP_021033618.1	1e-122	90.56	false	complement(51967..52668)	complement(53119..53820)
YP_002343506.1	WP_002790217.1	0.0	87.47	false	complement(52665..53867)	complement(53817..55025)
YP_002343507.1	WP_002793262.1	0.0	94.65	false	53970..55319	55131..56480
YP_002343509.1	WP_002793260.1	3e-100	91.63	false	complement(56564..57211)	complement(56477..57127)
YP_002343510.1	WP_002779297.1	0.0	99.34	false	complement(57211..59019)	complement(57127..58935)
YP_002343511.1	WP_002779298.1	2e-30	71.03	false	59154..59477	59064..59387
YP_002343512.1	WP_002779299.1	0.0	66.14	false	59493..61289	59401..61287
YP_002343513.1	WP_002829664.1	4e-128	88.78	false	61343..62227	61340..62203
YP_002343514.1	WP_021033619.1	0.0	95.05	false	62231..63868	62207..63844
YP_002343515.1	WP_002845034.1	0.0	97.75	false	complement(63872..65743)	complement(63848..65719)
YP_002343516.1	WP_002793250.1	7e-127	89.96	false	complement(65744..66466)	complement(65634..66440)
